Mean Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_INTSC_HEXRECT  , 0.001533 , 0.000261 , 0.000263
