Min Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant      , Base_Seq , Base_HIP  , RAJA_HIP 
Tuning       , default  , block_256 , block_256
Apps_ENERGY  ,    1.000 ,     5.045 ,     7.822
