Min Speedup Report (T_ref/T_var): ref var = Base_HIP  ,  , 
Variant               , Base_HIP , RAJA_HIP
Tuning                , block_64 , block_64
Apps_MASS3DPA_ATOMIC  ,    1.000 ,    0.993
