FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel         , Base_HIP-compile_time_block_stride_loop_64,         , RAJA_HIP-compile_time_block_stride_loop_64,         , RAJA_HIP-cached_block_stride_loop_64      ,        
Apps_MASS3DEA  , 0                                         ,base_ref , 3                                         ,OVER_TOL , -0.03                                     ,        
               ,                                           ,         ,                                           ,         ,                                           ,        
Col Min        , 0                                         ,         , 3                                         ,         , -0.03                                     ,        
Col Max        , 0                                         ,         , 3                                         ,         , -0.03                                     ,        
Col Avg        , 0                                         ,         , 3                                         ,         , -0.03                                     ,        
Col Std Dev    , 0                                         ,         , 0                                         ,         , 0                                         ,        
