Kernels run on 24 MPI ranks
Kernel                 , Variant    , Tuning     ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_MASS3DPA_ATOMIC   , Base_HIP   , block_64   ,          753571 , PASSED     ,                 0.000431074 ,                          182.397 ,                           394.666
Apps_MASS3DPA_ATOMIC   , RAJA_HIP   , block_64   ,          753571 , PASSED     ,                 0.000434086 ,                          181.132 ,                           391.928
