Min Runtime Report (sec.)  ,  ,  , 
Variant               , Base_Seq , Base_HIP , RAJA_HIP
Tuning                , default  , block_64 , block_64
Apps_MASS3DPA_ATOMIC  , 0.009423 , 0.000303 , 0.000306
