Mean Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_DIFFUSION3DPA  , 2.005861 , 0.007343 , 0.007134
