Mean Runtime Report (sec.)  ,  ,  , 
Variant        , Base_Seq , Base_HIP , RAJA_HIP
Tuning         , default  , block_64 , block_64
Apps_FEMSWEEP  , 0.152243 , 0.001741 , 0.001610
