Mean Speedup Report (T_ref/T_var): ref var = Base_HIP  ,  , 
Variant             , Base_HIP , RAJA_HIP
Tuning              , block_64 , block_64
Apps_INTSC_HEXRECT  ,    1.000 ,    1.017
