Min Runtime Report (sec.)  ,  ,  , 
Variant        , Base_Seq , Base_HIP , RAJA_HIP
Tuning         , default  , block_64 , block_64
Apps_FEMSWEEP  , 0.007747 , 0.000408 , 0.000377
