Max Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_DIFFUSION3DPA  , 0.057880 , 0.000859 , 0.000810
