Kernels run on 24 MPI ranks
Kernel        , Variant    , Tuning      ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_EDGE3D   , Base_Seq   , default     ,           17576 , PASSED     ,                   0.0397288 ,                        0.0193809 ,                           8.36103
Apps_EDGE3D   , Base_HIP   , block_256   ,           17576 , PASSED     ,                 8.49982e-05 ,                          9.05878 ,                           3908.01
Apps_EDGE3D   , RAJA_HIP   , block_256   ,           17576 , PASSED     ,                 8.13612e-05 ,                          9.46373 ,                           4082.70
