FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  , 
Kernel       , Base_HIP-block_256,         , RAJA_HIP-block_256,        
Apps_ENERGY  , 0                 ,base_ref , -0.001            ,        
             ,                   ,         ,                   ,        
Col Min      , 0                 ,         , -0.001            ,        
Col Max      , 0                 ,         , -0.001            ,        
Col Avg      , 0                 ,         , -0.001            ,        
Col Std Dev  , 0                 ,         , 0                 ,        
