Mean Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_HIP , RAJA_HIP
Tuning               , default  , block_64 , block_64
Apps_CONVECTION3DPA  , 1.882410 , 0.018992 , 0.018922
