Mean Runtime Report (sec.)  ,  ,  , 
Variant                 , Base_Seq , Base_HIP  , RAJA_HIP 
Tuning                  , default  , block_256 , block_256
Apps_MATVEC_3D_STENCIL  , 0.019479 ,  0.000539 ,  0.000507
