Max Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant              , Base_Seq , Base_HIP , RAJA_HIP
Tuning               , default  , block_64 , block_64
Apps_CONVECTION3DPA  ,    1.000 ,   96.717 ,   96.365
