FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                   , Base_Seq-direct       ,         , Base_HIP-direct_1024  ,         , RAJA_HIP-direct_1024  ,         , RAJA_HIP-funcptr_1024 ,         , RAJA_HIP-virtfunc_1024,        
Comm_HALO_PACKING_FUSED  , 0                     ,base_ref , 0                     ,base_ref , -0.088                ,         , -0.11                 ,         , -0.047                ,        
                         ,                       ,         ,                       ,         ,                       ,         ,                       ,         ,                       ,        
Col Min                  , 0                     ,         , 0                     ,         , -0.088                ,         , -0.11                 ,         , -0.047                ,        
Col Max                  , 0                     ,         , 0                     ,         , -0.088                ,         , -0.11                 ,         , -0.047                ,        
Col Avg                  , 0                     ,         , 0                     ,         , -0.088                ,         , -0.11                 ,         , -0.047                ,        
Col Std Dev              , 0                     ,         , 0                     ,         , 0                     ,         , 0                     ,         , 0                     ,        
