FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel               , Base_Seq-default              ,         , Base_Seq-kahan                ,         , Base_Seq-cascade              ,         , Base_HIP-blkatm_direct_256    ,         , Base_HIP-blkatm_occgs_256     ,         , RAJA_HIP-blkatm_direct_256    ,         , RAJA_HIP-blkdev_direct_256    ,         , RAJA_HIP-blkdev_direct_new_256,         , RAJA_HIP-blkatm_occgs_256     ,         , RAJA_HIP-blkdev_occgs_256     ,         , RAJA_HIP-blkdev_occgs_new_256 ,        
Basic_REDUCE_STRUCT  , 0                             ,base_ref , 2.9                           ,OVER_TOL , 0.9                           ,OVER_TOL , 0                             ,base_ref , -0.84                         ,         , -0.87                         ,         , -0.85                         ,         , -0.79                         ,         , -0.95                         ,         , -0.94                         ,         , -0.93                         ,        
                     ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,         ,                               ,        
Col Min              , 0                             ,         , 2.9                           ,         , 0.9                           ,         , 0                             ,         , -0.84                         ,         , -0.87                         ,         , -0.85                         ,         , -0.79                         ,         , -0.95                         ,         , -0.94                         ,         , -0.93                         ,        
Col Max              , 0                             ,         , 2.9                           ,         , 0.9                           ,         , 0                             ,         , -0.84                         ,         , -0.87                         ,         , -0.85                         ,         , -0.79                         ,         , -0.95                         ,         , -0.94                         ,         , -0.93                         ,        
Col Avg              , 0                             ,         , 2.9                           ,         , 0.9                           ,         , 0                             ,         , -0.84                         ,         , -0.87                         ,         , -0.85                         ,         , -0.79                         ,         , -0.95                         ,         , -0.94                         ,         , -0.93                         ,        
Col Std Dev          , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,         , 0                             ,        
