Max Runtime Report (sec.)  ,  ,  , 
Variant            , Base_Seq , Base_HIP , RAJA_HIP
Tuning             , default  , block_64 , block_64
Apps_INTSC_HEXHEX  , 0.054175 , 0.058219 , 0.033084
