FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel       , Base_Seq-default   ,         , Base_HIP-block_256 ,         , RAJA_HIP-kernel_256,         , RAJA_HIP-launch_256,        
Apps_LTIMES  , 0                  ,base_ref , 0                  ,base_ref , 0.14               ,OVER_TOL , 0.17               ,OVER_TOL
             ,                    ,         ,                    ,         ,                    ,         ,                    ,        
Col Min      , 0                  ,         , 0                  ,         , 0.14               ,         , 0.17               ,        
Col Max      , 0                  ,         , 0                  ,         , 0.14               ,         , 0.17               ,        
Col Avg      , 0                  ,         , 0                  ,         , 0.14               ,         , 0.17               ,        
Col Std Dev  , 0                  ,         , 0                  ,         , 0                  ,         , 0                  ,        
