Mean Runtime Report (sec.)  ,  ,  , 
Variant            , Base_Seq , Base_HIP , RAJA_HIP
Tuning             , default  , block_64 , block_64
Apps_INTSC_HEXHEX  , 0.373523 , 0.397250 , 0.210811
