Max Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_HIP , RAJA_HIP
Tuning               , default  , block_64 , block_64
Apps_CONVECTION3DPA  , 0.001343 , 0.000145 , 0.000156
