Min Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_HIP  , RAJA_HIP 
Tuning               , default  , block_256 , block_256
Apps_DEL_DOT_VEC_2D  , 0.042419 ,  0.000619 ,  0.000626
