Min Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_HIP , RAJA_HIP
Tuning               , default  , block_64 , block_64
Apps_CONVECTION3DPA  , 0.047345 , 0.001428 , 0.001418
