Max Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_HIP  , RAJA_HIP 
Tuning               , default  , block_256 , block_256
Apps_DEL_DOT_VEC_2D  , 0.701681 ,  0.013017 ,  0.012792
