Min Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_64  , block_64 
Apps_CONVECTION3DPA  , 0.001084 ,  0.000204 ,  0.000206
