Min Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_64  , block_64 
Apps_CONVECTION3DPA  , 0.017899 ,  0.000285 ,  0.000281
