FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                   , Base_Seq-direct        ,         , Base_CUDA-direct_1024  ,         , RAJA_CUDA-direct_1024  ,         , RAJA_CUDA-funcptr_1024 ,         , RAJA_CUDA-virtfunc_1024,        
Comm_HALO_PACKING_FUSED  , 0                      ,base_ref , 0                      ,base_ref , -0.0027                ,         , 0.054                  ,         , 0.06                   ,        
                         ,                        ,         ,                        ,         ,                        ,         ,                        ,         ,                        ,        
Col Min                  , 0                      ,         , 0                      ,         , -0.0027                ,         , 0.054                  ,         , 0.06                   ,        
Col Max                  , 0                      ,         , 0                      ,         , -0.0027                ,         , 0.054                  ,         , 0.06                   ,        
Col Avg                  , 0                      ,         , 0                      ,         , -0.0027                ,         , 0.054                  ,         , 0.06                   ,        
Col Std Dev              , 0                      ,         , 0                      ,         , 0                      ,         , 0                      ,         , 0                      ,        
