Mean Runtime Report (sec.)  ,  ,  , 
Variant            , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning             , default  , block_64  , block_64 
Apps_INTSC_HEXHEX  , 1.628183 ,  0.006481 ,  0.006472
