Min Runtime Report (sec.)  ,  ,  , 
Variant            , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning             , default  , block_64  , block_64 
Apps_INTSC_HEXHEX  , 0.002677 ,  0.000042 ,  0.000038
