Kernels run on 4 MPI ranks
Kernel                , Variant     , Tuning     ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_CONVECTION3DPA   , Base_Seq    , default    ,           21951 , PASSED     ,                 0.000170701 ,                          9.68897 ,                           17.5411
Apps_CONVECTION3DPA   , Base_CUDA   , block_64   ,           21951 , PASSED     ,                 4.68898e-06 ,                          352.724 ,                           638.578
Apps_CONVECTION3DPA   , RAJA_CUDA   , block_64   ,           21951 , PASSED     ,                 4.68604e-06 ,                          352.946 ,                           638.979
