Mean Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_256 , block_256
Apps_DEL_DOT_VEC_2D  , 0.008181 ,  0.000284 ,  0.000282
