Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_256 , block_256
Apps_DEL_DOT_VEC_2D  ,    1.000 ,    55.541 ,    55.249
