Max Runtime Report (sec.)  ,  ,  , 
Variant        , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning         , default  , block_25  , block_25 
Apps_MASS3DPA  , 1.532489 ,  0.005448 ,  0.005472
