Min Runtime Report (sec.)  ,  ,  , 
Variant                 , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                  , default  , block_256 , block_256
Apps_MATVEC_3D_STENCIL  , 0.008122 ,  0.000363 ,  0.000343
