Mean Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_64  , block_64 
Apps_CONVECTION3DPA  , 0.008535 ,  0.000234 ,  0.000234
