Min Runtime Report (sec.)  ,  ,  , 
Variant                , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                 , default  , block_256 , block_256
Basic_INDEXLIST_3LOOP  , 0.646864 ,  0.002784 ,  0.002792
