FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel               , Base_Seq-default               ,         , Base_Seq-kahan                 ,         , Base_Seq-cascade               ,         , Base_CUDA-blkatm_direct_256    ,         , Base_CUDA-blkatm_occgs_256     ,         , RAJA_CUDA-blkatm_direct_256    ,         , RAJA_CUDA-blkdev_direct_256    ,         , RAJA_CUDA-blkdev_direct_new_256,         , RAJA_CUDA-blkatm_occgs_256     ,         , RAJA_CUDA-blkdev_occgs_256     ,         , RAJA_CUDA-blkdev_occgs_new_256 ,        
Basic_REDUCE_STRUCT  , 0                              ,base_ref , 0.62                           ,OVER_TOL , 0.43                           ,OVER_TOL , 0                              ,base_ref , 0.17                           ,OVER_TOL , 0.025                          ,         , -0.05                          ,         , -0.33                          ,         , 0.18                           ,OVER_TOL , -0.91                          ,         , -0.91                          ,        
                     ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,        
Col Min              , 0                              ,         , 0.62                           ,         , 0.43                           ,         , 0                              ,         , 0.17                           ,         , 0.025                          ,         , -0.05                          ,         , -0.33                          ,         , 0.18                           ,         , -0.91                          ,         , -0.91                          ,        
Col Max              , 0                              ,         , 0.62                           ,         , 0.43                           ,         , 0                              ,         , 0.17                           ,         , 0.025                          ,         , -0.05                          ,         , -0.33                          ,         , 0.18                           ,         , -0.91                          ,         , -0.91                          ,        
Col Avg              , 0                              ,         , 0.62                           ,         , 0.43                           ,         , 0                              ,         , 0.17                           ,         , 0.025                          ,         , -0.05                          ,         , -0.33                          ,         , 0.18                           ,         , -0.91                          ,         , -0.91                          ,        
Col Std Dev          , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,        
