Max Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_256 , block_256
Apps_DEL_DOT_VEC_2D  , 1.950632 ,  0.005681 ,  0.005674
