Min Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_256 , block_256
Apps_DEL_DOT_VEC_2D  , 0.290632 ,  0.000861 ,  0.000856
