Max Runtime Report (sec.)  ,  ,  , 
Variant              , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning               , default  , block_64  , block_64 
Apps_CONVECTION3DPA  , 0.004211 ,  0.000212 ,  0.000211
