Min Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant                , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                 , default  , block_256 , block_256
Basic_INDEXLIST_3LOOP  ,    1.000 ,    42.816 ,    42.947
