FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel              , Base_Seq-default           ,         , Base_CUDA-atomic_direct_256,         , Base_CUDA-atomic_occgs_256 ,         , RAJA_CUDA-atomic_direct_256,         , RAJA_CUDA-atomic_occgs_256 ,        
Basic_MULTI_REDUCE  , 0                          ,base_ref , 0                          ,base_ref , -0.0054                    ,         , 0.026                      ,         , 0.048                      ,        
                    ,                            ,         ,                            ,         ,                            ,         ,                            ,         ,                            ,        
Col Min             , 0                          ,         , 0                          ,         , -0.0054                    ,         , 0.026                      ,         , 0.048                      ,        
Col Max             , 0                          ,         , 0                          ,         , -0.0054                    ,         , 0.026                      ,         , 0.048                      ,        
Col Avg             , 0                          ,         , 0                          ,         , -0.0054                    ,         , 0.026                      ,         , 0.048                      ,        
Col Std Dev         , 0                          ,         , 0                          ,         , 0                          ,         , 0                          ,         , 0                          ,        
