Max Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant                 , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                  , default  , block_256 , block_256
Apps_MATVEC_3D_STENCIL  ,    1.000 ,    51.983 ,    55.352
