FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel               , Base_Seq-default               ,         , Base_Seq-kahan                 ,         , Base_Seq-cascade               ,         , Base_CUDA-blkatm_direct_256    ,         , Base_CUDA-blkatm_occgs_256     ,         , RAJA_CUDA-blkatm_direct_256    ,         , RAJA_CUDA-blkdev_direct_256    ,         , RAJA_CUDA-blkdev_direct_new_256,         , RAJA_CUDA-blkatm_occgs_256     ,         , RAJA_CUDA-blkdev_occgs_256     ,         , RAJA_CUDA-blkdev_occgs_new_256 ,        
Basic_REDUCE_STRUCT  , 0                              ,base_ref , 0.58                           ,OVER_TOL , 0.61                           ,OVER_TOL , 0                              ,base_ref , 0.12                           ,OVER_TOL , -0.016                         ,         , -0.32                          ,         , -0.51                          ,         , 0.12                           ,OVER_TOL , -0.93                          ,         , -0.92                          ,        
                     ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,         ,                                ,        
Col Min              , 0                              ,         , 0.58                           ,         , 0.61                           ,         , 0                              ,         , 0.12                           ,         , -0.016                         ,         , -0.32                          ,         , -0.51                          ,         , 0.12                           ,         , -0.93                          ,         , -0.92                          ,        
Col Max              , 0                              ,         , 0.58                           ,         , 0.61                           ,         , 0                              ,         , 0.12                           ,         , -0.016                         ,         , -0.32                          ,         , -0.51                          ,         , 0.12                           ,         , -0.93                          ,         , -0.92                          ,        
Col Avg              , 0                              ,         , 0.58                           ,         , 0.61                           ,         , 0                              ,         , 0.12                           ,         , -0.016                         ,         , -0.32                          ,         , -0.51                          ,         , 0.12                           ,         , -0.93                          ,         , -0.92                          ,        
Col Std Dev          , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,         , 0                              ,        
