Max Runtime Report (sec.)  ,  ,  , 
Variant                 , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                  , default  , block_256 , block_256
Apps_MATVEC_3D_STENCIL  , 0.000513 ,  0.000358 ,  0.000338
