Max Runtime Report (sec.)  ,  ,  , 
Variant            , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning             , default  , block_64  , block_64 
Apps_INTSC_HEXHEX  , 0.284349 ,  0.001156 ,  0.001156
