Max Runtime Report (sec.)  ,  ,  , 
Variant                , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning                 , default  , block_256 , block_256
Basic_INDEXLIST_3LOOP  , 6.005331 ,  0.017846 ,  0.017838
