Min Runtime Report (sec.)  ,  ,  , 
Variant               , Base_Seq , Base_HIP , RAJA_HIP
Tuning                , default  , block_64 , block_64
Apps_MASS3DPA_ATOMIC  , 1.263975 , 0.004693 , 0.004728
