Kernels run on 4 MPI ranks
Kernel        , Variant    , Tuning      ,    Problem size , Checksum   ,    Mean time per rep (sec.) ,    Mean Bandwidth (GiB per sec.) ,    Mean flops (gigaFLOP per sec.)
Apps_ENERGY   , Base_Seq   , default     ,          853334 , PASSED     ,                  0.00643223 ,                          26.6877 ,                           7.29659
Apps_ENERGY   , Base_HIP   , block_256   ,          853334 , PASSED     ,                 6.04470e-05 ,                          2839.87 ,                           776.438
Apps_ENERGY   , RAJA_HIP   , block_256   ,          853334 , PASSED     ,                 6.00405e-05 ,                          2859.10 ,                           781.695
