Mean Runtime Report (sec.)  ,  ,  , 
Variant               , Base_Seq , Base_HIP , RAJA_HIP
Tuning                , default  , block_64 , block_64
Apps_MASS3DPA_ATOMIC  , 0.666905 , 0.002375 , 0.002411
