Max Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_DIFFUSION3DPA  , 6.378036 , 0.010250 , 0.009807
