Min Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_INTSC_HEXRECT  , 0.238713 , 0.001224 , 0.001234
