Mean Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_DIFFUSION3DPA  , 0.002995 , 0.000201 , 0.000193
