FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  , 
Kernel              , Base_HIP-block_64,         , RAJA_HIP-block_64,        
Apps_DIFFUSION3DPA  , 0                ,base_ref , -0.04            ,        
                    ,                  ,         ,                  ,        
Col Min             , 0                ,         , -0.04            ,        
Col Max             , 0                ,         , -0.04            ,        
Col Avg             , 0                ,         , -0.04            ,        
Col Std Dev         , 0                ,         , 0                ,        
