Max Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_INTSC_HEXRECT  , 2.687921 , 0.012531 , 0.012562
