Min Runtime Report (sec.)  ,  ,  , 
Variant             , Base_Seq , Base_HIP , RAJA_HIP
Tuning              , default  , block_64 , block_64
Apps_DIFFUSION3DPA  , 0.025487 , 0.000228 , 0.000220
