Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant        , Base_Seq , Base_HIP , RAJA_HIP
Tuning         , default  , block_64 , block_64
Apps_FEMSWEEP  ,    1.000 ,  479.678 ,  495.298
